No errors
No warnings
8 ms
data source=metars
120 results
"raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m"
"EHAM 221225Z 01008KT 330V050 9999 FEW016 OVC021 11/07 Q1029 NOSIG,EHAM,2015-04-22T12:25:00Z,52.32,4.78,11.0,7.0,10,8,,6.21,30.383858,,,,,,TRUE,,,,,FEW,1600,OVC,2100,,,,,MVFR,,,,,,,,,,,,METAR,9.0"
"PAED 221158Z AUTO 30008KT 10SM SCT100 02/M03 A2992 RMK AO2 SLP129 T00161029 10041 20016 50001,PAED,2015-04-22T11:58:00Z,61.25,-149.8,1.6,-2.9,300,8,,10.0,29.920275,1012.9,,TRUE,TRUE,,,,,,,SCT,10000,,,,,,,VFR,0.1,4.1,1.6,,,,,,,,,METAR,59.0"
"KLAS 221156Z 22005KT 10SM FEW220 17/M02 A2973 RMK AO2 SLP046 T01671022 10217 20167 53002,KLAS,2015-04-22T11:56:00Z,36.07,-115.17,16.7,-2.2,220,5,,10.0,29.731298,1004.6,,,TRUE,,,,,,,FEW,22000,,,,,,,VFR,0.2,21.7,16.7,,,,,,,,,METAR,636.0"
"KSFO 221156Z 24004KT 9SM BKN009 OVC013 11/11 A2984 RMK AO2 SLP106 T01110111 10133 20111 58004,KSFO,2015-04-22T11:56:00Z,37.62,-122.37,11.1,11.1,240,4,,9.0,29.840551,1010.6,,,TRUE,,,,,,,BKN,900,OVC,1300,,,,,IFR,-0.4,13.3,11.1,,,,,,,,,METAR,3.0"
"EHAM 221155Z 01012KT 330V030 9999 FEW016 OVC021 11/06 Q1029 NOSIG,EHAM,2015-04-22T11:55:00Z,52.32,4.78,11.0,6.0,10,12,,6.21,30.383858,,,,,,TRUE,,,,,FEW,1600,OVC,2100,,,,,MVFR,,,,,,,,,,,,METAR,9.0"
"KDEN 221153Z 27006KT 10SM FEW180 SCT220 04/01 A2993 RMK AO2 SLP100 T00390011 10100 20028 55008,KDEN,2015-04-22T11:53:00Z,39.85,-104.65,3.9,1.1,270,6,,10.0,29.929134,1010.0,,,TRUE,,,,,,,FEW,18000,SCT,22000,,,,,VFR,-0.8,10.0,2.8,,,,,,,,,SPECI,1640.0"
"KSEA 221153Z 20005KT 10SM OVC010 07/04 A3016 RMK AO2 SLP219 60001 70022 T00670044 10072 20050 53008 $,KSEA,2015-04-22T11:53:00Z,47.45,-122.32,6.7,4.4,200,5,,10.0,30.159449,1021.9,,,TRUE,TRUE,,,,,,OVC,1000,,,,,,,MVFR,0.8,7.2,5.0,,,,,0.01,0.22,,,METAR,136.0"
"KLAX 221153Z 00000KT 10SM FEW014 SCT150 13/11 A2989 RMK AO2 SLP121 T01330106 10144 20128 56005,KLAX,2015-04-22T11:53:00Z,33.93,-118.38,13.3,10.6,0,0,,10.0,29.890747,1012.1,,,TRUE,,,,,,,FEW,1400,SCT,15000,,,,,VFR,-0.5,14.4,12.8,,,,,,,,,METAR,46.0"
"KJFK 221151Z 17006KT 10SM FEW100 SCT190 SCT250 12/04 A2978 RMK AO2 SLP085 70002 T01220044 10122 20078 58004,KJFK,2015-04-22T11:51:00Z,40.63,-73.77,12.2,4.4,170,6,,10.0,29.778543,1008.5,,,TRUE,,,,,,,FEW,10000,SCT,19000,SCT,25000,,,VFR,-0.4,12.2,7.8,,,,,,0.02,,,METAR,9.0"
"EHAM 221125Z 01009KT 330V050 9999 FEW016 OVC019 11/07 Q1030 NOSIG,EHAM,2015-04-22T11:25:00Z,52.32,4.78,11.0,7.0,10,9,,6.21,30.413385,,,,,,TRUE,,,,,FEW,1600,OVC,1900,,,,,MVFR,,,,,,,,,,,,METAR,9.0"
"KSEA 221114Z 20007KT 10SM BKN011 06/04 A3014 RMK AO2 $,KSEA,2015-04-22T11:14:00Z,47.45,-122.32,6.0,4.0,200,7,,10.0,30.138779,,,,TRUE,TRUE,,,,,,BKN,1100,,,,,,,MVFR,,,,,,,,,,,,METAR,136.0"
